Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
"""The Grey Woman""","Gaskell, Elizabeth",1861,Victorian,Short Story,Gothic,English,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Gaskell_TheGreyWoman_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0605561h.html,,,,,,Project Gutenberg Australia,0605561h.html,Aug-06,7-Apr-17,"Scott, Richard",,"['white', 'crimson', 'red', 'crimson', 'white', 'yellow', 'natural', 'blue', 'natural', 'angry', 'natural', 'grey', 'angry', 'white', 'blue', 'white', 'black', 'angry', 'angry', 'black', 'red', 'blue', 'brown', 'angry', 'natural', 'black', 'natural', 'red', 'white', 'golden', 'bloody', 'blonde', 'natural', 'natural', 'yellow', 'grey', 'grey', 'natural']","{'white': 5, 'crimson': 2, 'red': 3, 'yellow': 2, 'natural': 8, 'blue': 3, 'angry': 5, 'grey': 3, 'black': 3, 'brown': 1, 'golden': 1, 'bloody': 1, 'blonde': 1}"
"""The Mummy'S Foot""","Gautier, Theophile",1863,,Short Story,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Gautier_TheMummysFoot_Gutenberg.txt,http://www.gutenberg.org/cache/epub/22662/pg22662.txt,,,,https://en.wikipedia.org/wiki/The_Mummy%27s_Foot,,Project Gutenberg,#22662,18-Sep-07,5-Apr-17,Produced by David Widger,"Translated By Lafcadio Hearn, 1908","['red', 'red', 'blue', 'gilded', 'yellow', 'white', 'salmon', 'yellow', 'bronzes', 'malachite', 'black', 'blue', 'metallic', 'black', 'blue', 'green', 'red', 'black', 'pearly', 'golden', 'natural', 'green', 'rose-coloured', 'livid', 'yellowish', 'black', 'copper-coloured', 'green']","{'red': 3, 'blue': 3, 'gilded': 1, 'yellow': 2, 'white': 1, 'salmon': 1, 'bronzes': 1, 'malachite': 1, 'black': 4, 'metallic': 1, 'green': 3, 'pearly': 1, 'golden': 1, 'natural': 1, 'rose-coloured': 1, 'livid': 1, 'yellowish': 1, 'copper-coloured': 1}"
Uncle Silas,"Le Fanu, Sheridan",1864,Victorian,Novel,Gothic,Irish,,,,,,Peripheral,Caroline,LeFanu_UncleSilas_Gutenberg.txt,http://www.gutenberg.org/cache/epub/14851/pg14851.txt,,,,https://en.wikipedia.org/wiki/Uncle_Silas,,Project Gutenberg,#14851,31-Jan-05,5-Apr-17,"Produced by Suzanne Shell, Bob McKillip and the Online Distributed Proofreading Team",,"['angry', 'claret', 'black', 'golden', 'black', 'black', 'white', 'black', 'black', 'black', 'black', 'black', 'black', 'white', 'black', 'black', 'black', 'white', 'chocolate-coloured', 'angry', 'black', 'black', 'black', 'rosy', 'black', 'angry', 'white', 'grey', 'white', 'grey', 'natural', 'red', 'purple', 'black', 'black', 'sallow', 'sable', 'red', 'lurid', 'angry', 'lurid', 'white', 'white', 'angry', 'green', 'green', 'green', 'red', 'purple', 'greyish', 'black', 'blue', 'golden', 'golden', 'golden', 'angry', 'white', 'black', 'brown', 'angry', 'angry', 'angry', 'angry', 'angry', 'sulphureous', 'angry', 'angry', 'angry', 'lurid', 'blood-red', 'golden', 'yellow', 'greenish', 'angry', 'angry', 'angry', 'angry', 'leaden', 'angry', 'black', 'grey', 'black', 'red', 'pink', 'white', 'black', 'blue', 'white', 'white', 'angry', 'white', 'angry', 'white', 'white', 'white', 'blue', 'black', 'grey', 'blue', 'black', 'white', 'black', 'angry', 'natural', 'black', 'black', 'blue', 'black', 'black', 'black', 'brown', 'neutral', 'black', 'black', 'black', 'black', 'angry', 'white', 'marble', 'black', 'black', 'white', 'red', 'natural', 'red', 'angry', 'black', 'natural', 'black', 'snow', 'black', 'angry', 'black', 'brown', 'black', 'black', 'white', 'yellow', 'black', 'black', 'natural', 'white', 'white', 'angry', 'black', 'golden', 'sable', 'pearly', 'white', 'grey', 'white', 'white', 'white', 'white', 'yellow', 'ruddy', 'white', 'black', 'black', 'black', 'blue', 'black', 'white', 'black', 'white', 'white', 'white', 'black', 'black', 'black', 'black', 'white', 'white', 'red', 'white', 'black', 'yellow', 'natural', 'black', 'white', 'red', 'bottle-green', 'brown', 'red', 'red', 'white', 'black', 'sooty', 'angry', 'white', 'red', 'yellow', 'brown', 'angry', 'buff', 'black', 'white', 'sallow', 'red', 'red', 'white', 'white', 'white', 'natural', 'angry', 'red', 'black', 'red', 'angry', 'swart', 'angry', 'black', 'black', 'black', 'red', 'red', 'white', 'white', 'white', 'angry', 'white', 'white', 'natural', 'pink', 'blue', 'angry', 'angry', 'tony', 'natural', 'silver', 'claret', 'angry', 'white', 'white', 'angry', 'natural', 'azure', 'grey', 'mulberry', 'pink', 'blue', 'ivory', 'angry', 'angry', 'angry', 'marble', 'angry', 'white', 'white', 'marble', 'white', 'blank', 'white', 'white', 'red', 'sooty', 'brown', 'white', 'angry', 'angry', 'angry', 'yellow', 'white', 'white', 'sandy', 'black', 'white', 'natural', 'white', 'marble', 'angry', 'angry', 'angry', 'green', 'green', 'leaden', 'white', 'white', 'red', 'brown', 'livid', 'chalky', 'red', 'wan', 'angry', 'white', 'black', 'red', 'white', 'red', 'marble', 'hoary', 'white', 'sandy', 'black', 'angry', 'black', 'tony', 'angry', 'rose-coloured', 'golden', 'white', 'golden', 'blue', 'grey', 'rusty', 'rusty', 'white', 'black', 'natural', 'angry', 'angry', 'angry', 'leaden', 'blue', 'grassy', 'white', 'black', 'white', 'white', 'blank', 'sunburnt', 'sunny', 'white', 'blue', 'black', 'black', 'azure', 'black', 'blank', 'black', 'raven', 'grey', 'red', 'angry', 'angry', 'black', 'red', 'black', 'black', 'black', 'black', 'white', 'white', 'white', 'white', 'black', 'green', 'brown']","{'angry': 54, 'claret': 2, 'black': 79, 'golden': 8, 'white': 73, 'chocolate-coloured': 1, 'rosy': 1, 'grey': 8, 'natural': 12, 'red': 24, 'purple': 2, 'sallow': 2, 'sable': 2, 'lurid': 3, 'green': 6, 'greyish': 1, 'blue': 11, 'brown': 8, 'sulphureous': 1, 'blood-red': 1, 'yellow': 6, 'greenish': 1, 'leaden': 3, 'pink': 3, 'neutral': 1, 'marble': 5, 'snow': 1, 'pearly': 1, 'ruddy': 1, 'bottle-green': 1, 'sooty': 2, 'buff': 1, 'swart': 1, 'tony': 2, 'silver': 1, 'azure': 2, 'mulberry': 1, 'ivory': 1, 'blank': 3, 'sandy': 2, 'livid': 1, 'chalky': 1, 'wan': 1, 'hoary': 1, 'rose-coloured': 1, 'rusty': 2, 'grassy': 1, 'sunburnt': 1, 'sunny': 1, 'raven': 1}"
A Long Fatal Love Chase,"Alcott, Louisa May",1866,Victorian,Novel,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,,,,,,https://en.wikipedia.org/wiki/A_Long_Fatal_Love_Chase,"Written in 1866, published 1995",,,,,,,,
"""Il Dottorcymbalus"" And ""Un Vampiro"" And Other Stories","Capuana, Luigi",1867,,Short Story Collection,Gothic,Sicilian,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
Les Chants De Maldoror,"de Lautréamont, Comte",1869,,Prose Poem,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Les_Chants_de_Maldoror,,,,,,,,,
Lokis,"Mérimée, Prosper",1869,,Novella,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Lokis_(novella),,,,,,,,,
The Mystery Of Edwin Drood,"Dickens, Charles",1870,Victorian,Novel,Gothic,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Dickens_TheMysteryOfEdwinDrood_Gutenberg.txt,http://www.gutenberg.org/files/564/564-0.txt,,,https://archive.org/details/worksofcharlesdi01dick,https://en.wikipedia.org/wiki/The_Mystery_of_Edwin_Drood,,Project Gutenberg,#564,25-Dec-10,6-Apr-17,"Transcribed from the Chapman and Hall, 1914 edition by David Price, emai ccx074@pglaf.org",Illustrated by Luke Fildes,"['rusty', 'white', 'red', 'silver', 'black', 'white', 'ruddy', 'rosy', 'black', 'brown', 'blue', 'natural', 'pink', 'pink', 'rosy', 'red', 'red', 'red', 'angry', 'angry', 'natural', 'blue', 'yellow', 'black', 'stony', 'tony', 'golden', 'stony', 'white', 'red', 'elephant', 'ensanguined', 'rosy', 'black', 'brazen', 'angry', 'golden', 'black', 'black', 'white', 'blood-red', 'golden', 'sandy', 'yellow', 'white', 'black', 'natural', 'green', 'white', 'green', 'brown', 'white', 'candid', 'blue', 'white', 'brown', 'drab', 'raspberry', 'lemon', 'gentian', 'rosy', 'rusty', 'angry', 'black', 'angry', 'angry', 'angry', 'black', 'black', 'black', 'white', 'ruby', 'straw-coloured', 'golden', 'red', 'white', 'stony', 'red', 'natural', 'black', 'purple', 'yellow', 'stone', 'golden', 'golden', 'brown', 'blank', 'sunny', 'rosy', 'silvery', 'natural', 'angry', 'natural', 'white', 'red', 'natural', 'angry', 'angry', 'black', 'black', 'black', 'black', 'red', 'red', 'red', 'white', 'sanded', 'red', 'lurid', 'white', 'white', 'lead-coloured', 'black', 'sanguine', 'black', 'black', 'fleshy', 'red', 'rusty', 'natural', 'sunburnt', 'brown', 'white', 'white', 'blue', 'brown', 'navy', 'black', 'white', 'white', 'white', 'natural', 'white', 'white', 'white', 'white', 'sunny', 'black', 'natural', 'brown', 'black', 'brown', 'blue', 'blue', 'brazen', 'coral', 'brown', 'red', 'black', 'natural', 'golden', 'smoked', 'brown', 'marble', 'red', 'white', 'brown', 'natural', 'natural']","{'rusty': 3, 'white': 24, 'red': 15, 'silver': 1, 'black': 23, 'ruddy': 1, 'rosy': 5, 'brown': 11, 'blue': 6, 'natural': 13, 'pink': 2, 'angry': 10, 'yellow': 3, 'stony': 3, 'tony': 1, 'golden': 7, 'elephant': 1, 'ensanguined': 1, 'brazen': 2, 'blood-red': 1, 'sandy': 1, 'green': 2, 'candid': 1, 'drab': 1, 'raspberry': 1, 'lemon': 1, 'gentian': 1, 'ruby': 1, 'straw-coloured': 1, 'purple': 1, 'stone': 1, 'blank': 1, 'sunny': 2, 'silvery': 1, 'sanded': 1, 'lurid': 1, 'lead-coloured': 1, 'sanguine': 1, 'fleshy': 1, 'sunburnt': 1, 'navy': 1, 'coral': 1, 'smoked': 1, 'marble': 1}"
In A Glass Darkly,"Le Fanu, Sheridan",1872,Victorian,Short Story Collection,Gothic,Irish,,Richard Bentley & Son,,,,Central,Caroline,,,,,,https://en.wikipedia.org/wiki/In_a_Glass_Darkly,,,,,,,,,
Carmilla,"Le Fanu, Sheridan",1872,Victorian,Novel,Gothic,Irish,,,,,,Central,Caroline,LeFanu_Carmilla_Gutenberg.txt,https://www.gutenberg.org/files/10007/10007-h/10007-h.htm,,,,https://en.wikipedia.org/wiki/Carmilla,,Project Gutenberg,#10007,7-Nov-03,6-Apr-17,"Produced by Suzanne Shell, Sjaani and PG Distributed Proofreaders",1872,"['white', 'black', 'black', 'brown', 'natural', 'black', 'black', 'white', 'black', 'black', 'golden', 'blue', 'black', 'livid', 'black', 'white', 'buff', 'black', 'black', 'black', 'angry', 'natural', 'natural', 'black', 'natural', 'white', 'natural', 'white', 'blue', 'grassy', 'red', 'blue', 'rosy', 'black', 'black', 'black', 'black', 'black', 'black', 'natural', 'black', 'black', 'black', 'black', 'yellow', 'marble', 'leaden', 'imperial']","{'white': 5, 'black': 22, 'brown': 1, 'natural': 6, 'golden': 1, 'blue': 3, 'livid': 1, 'buff': 1, 'angry': 1, 'grassy': 1, 'red': 1, 'rosy': 1, 'yellow': 1, 'marble': 1, 'leaden': 1, 'imperial': 1}"
For The Term Of His Natural Life,"Clarke, Marcus",1874,Victorian,Novel,Gothic,English-Australian,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Clarke_ForTheTermOfHisNaturalLife_Gutenberg.txt,https://www.gutenberg.org/files/3424/3424-h/3424-h.htm,,,https://archive.org/details/fortermofhisnatu00clar,https://en.wikipedia.org/wiki/For_the_Term_of_His_Natural_Life,,Project Gutenberg,#3424,12-Oct-09,6-Apr-17,"Produced by Col Choat, and David Widger",,"['natural', 'natural', 'natural', 'natural', 'natural', 'straw', 'natural', 'white', 'white', 'red', 'black', 'black', 'gold', 'red', 'white', 'angry', 'blue', 'natural', 'black', 'black', 'white', 'golden', 'white', 'white', 'black', 'white', 'white', 'black', 'red', 'black', 'yellow', 'white', 'red', 'angry', 'red', 'lurid', 'blue', 'grey', 'blue', 'blue', 'brown', 'white', 'angry', 'red', 'angry', 'white', 'black', 'sallow', 'pitchy', 'grey', 'natural', 'natural', 'lurid', 'red', 'black', 'black', 'black', 'black', 'angry', 'black', 'crimsoned', 'charred', 'blackened', 'black', 'blood-red', 'gilded', 'white', 'lurid', 'black', 'blue', 'yellow', 'black', 'yellow', 'green', 'red', 'red', 'white', 'red', 'white', 'white', 'grey', 'blue', 'brown', 'grey', 'reddened', 'indigo', 'natural', 'natural', 'red', 'black', 'bloody', 'brown', 'natural', 'red', 'blue', 'white', 'blue', 'scorched', 'sandy', 'natural', 'sandy', 'black', 'embrowned', 'white', 'natural', 'sandy', 'white', 'white', 'blue', 'golden', 'yellow', 'yellow', 'natural', 'white', 'golden', 'black', 'red', 'natural', 'black', 'natural', 'angry', 'coral', 'angry', 'angry', 'white', 'white', 'natural', 'sandy', 'sanguine', 'natural', 'yellow', 'white', 'steel-blue', 'bloody', 'blue', 'blue', 'bloody', 'golden', 'black', 'white', 'purple', 'white', 'white', 'white', 'purple', 'green', 'sandy', 'white', 'green', 'bloody', 'black', 'white', 'angry', 'yellow', 'blackened', 'angry', 'blank', 'white', 'sandy', 'red', 'red', 'straw', 'natural', 'golden', 'white', 'red', 'white', 'green', 'blue', 'brown', 'black', 'saffron-coloured', 'white', 'white', 'black', 'blue', 'sunny', 'black', 'white', 'black', 'sallow', 'grey', 'white', 'golden', 'white', 'angry', 'angry', 'red', 'white', 'white', 'red', 'natural', 'white', 'black', 'brown', 'black', 'blank', 'natural', 'natural', 'green', 'green', 'green', 'black', 'black', 'white', 'red', 'angry', 'angry', 'angry', 'yellow', 'angry', 'bloody', 'red', 'sunny', 'angry', 'yellow', 'wine', 'black', 'candid', 'blue', 'crimson', 'white', 'blue', 'olive', 'blue', 'white', 'bay', 'white', 'yellow', 'yellow', 'grey', 'blue', 'purple', 'white', 'black', 'black', 'angered', 'black', 'blank', 'blue', 'white', 'blank', 'blank', 'greenish', 'crimson', 'white', 'black', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'purple', 'red', 'bloody', 'white', 'black', 'natural', 'blue', 'blue', 'golden', 'golden', 'natural', 'natural', 'golden', 'bloody', 'bay', 'natural', 'yellow', 'purple', 'white', 'sandy', 'blue', 'natural', 'natural', 'red', 'blue', 'white', 'blue', 'black', 'white', 'natural', 'white', 'green', 'black', 'sandy', 'black', 'white', 'red', 'sandy', 'sandy', 'black', 'black', 'white', 'white', 'black', 'black', 'black', 'red', 'lurid', 'natural', 'white', 'black', 'black', 'black', 'black', 'black', 'red', 'black', 'natural', 'black', 'white', 'hoary', 'black', 'green', 'red', 'livid', 'red', 'sandy', 'sandy', 'grey', 'grey', 'black', 'white', 'black', 'white', 'natural', 'white', 'blue', 'white', 'red', 'ruddy', 'red', 'reddish', 'grey', 'black', 'reddened', 'white', 'black', 'natural', 'lemon', 'grey', 'black', 'green', 'crimson', 'straw', 'natural', 'black', 'natural', 'angry', 'black', 'white', 'black', 'white', 'red', 'straw', 'straw', 'straw', 'white', 'white', 'marble', 'horse-flesh', 'angry', 'angry', 'angry', 'angry', 'angry', 'purple', 'golden', 'natural', 'black', 'natural', 'natural', 'natural', 'white', 'black', 'natural', 'angry', 'black', 'red', 'livid', 'green', 'black', 'black', 'livid', 'black', 'red', 'natural', 'white', 'white', 'black', 'white', 'golden', 'navy', 'natural']","{'natural': 43, 'straw': 6, 'white': 76, 'red': 33, 'black': 67, 'gold': 1, 'angry': 24, 'blue': 24, 'golden': 11, 'yellow': 12, 'lurid': 4, 'grey': 10, 'brown': 5, 'sallow': 2, 'pitchy': 1, 'crimsoned': 1, 'charred': 1, 'blackened': 2, 'blood-red': 1, 'gilded': 1, 'green': 11, 'reddened': 2, 'indigo': 1, 'bloody': 7, 'scorched': 1, 'sandy': 12, 'embrowned': 1, 'coral': 1, 'sanguine': 1, 'steel-blue': 1, 'purple': 6, 'blank': 5, 'saffron-coloured': 1, 'sunny': 2, 'wine': 1, 'candid': 1, 'crimson': 3, 'olive': 1, 'bay': 2, 'angered': 1, 'greenish': 1, 'hoary': 1, 'livid': 3, 'ruddy': 1, 'reddish': 1, 'lemon': 1, 'marble': 1, 'horse-flesh': 1, 'navy': 1}"
"""Le Storie Del Castello Di Trezza""","Verga, Giovanni",1877,,Short Story,Gothic,Italian,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
"""A Beleaguered City, Being A Narrative Of Certain Recent Events In The City Of Semur, In The Department Of The Haute Bourgogne. A Story Of The Seen And The Unseen:","Oliphant, Margaret",1880,Victorian,Short Story,Gothic,Scottish,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Oliphant_TheBeleaguredCity_Gutenberg.txt,http://www.gutenberg.org/cache/epub/11521/pg11521.txt,,,,,More works by Oliphant?,Project Gutenberg,#11521,9-Mar-04,6-Apr-17,Produced by Stan Goodman and PG Distributed Proofreaders,1900,"['rose-tinted', 'grey', 'red', 'black', 'grey', 'yellow', 'natural', 'natural', 'natural', 'white', 'angry', 'natural', 'black', 'blue', 'blue', 'black', 'natural', 'natural', 'black', 'white', 'white', 'white', 'natural', 'angry', 'natural', 'red', 'angry', 'natural', 'natural', 'black', 'black', 'white', 'white', 'olive', 'silvery', 'olive', 'natural', 'white', 'natural', 'natural', 'natural', 'green', 'blue', 'white', 'blue', 'natural', 'natural', 'olive', 'olive', 'olive']","{'rose-tinted': 1, 'grey': 2, 'red': 2, 'black': 6, 'yellow': 1, 'natural': 16, 'white': 8, 'angry': 3, 'blue': 4, 'olive': 5, 'silvery': 1, 'green': 1}"
Malombra,"Fogazzaro, Antonio",1881,,Novel,Gothic,Italian,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Malombra_(novel),,,,,,,,,
Spiritismo?,"Capuana, Luigi",1884,,Novel,Gothic,Sicilian,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
The Strange Case Of Dr. Jekyll And Mr. Hyde,"Stevenson, Robert Louis",1886,Victorian,Novel,Gothic,Scottish,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Stevenson_DrJekyllAndMrHyde_Gutenberg.txt,http://www.gutenberg.org/cache/epub/42/pg42.txt,,,,https://en.wikipedia.org/wiki/Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,,Project Gutenberg,#42,18-Dec-11,6-Apr-17,,,"['black', 'natural', 'white', 'red', 'black', 'white', 'purple', 'black', 'white', 'gold', 'chocolate-coloured', 'lurid', 'brown', 'umber', 'grey', 'green', 'red', 'imperial', 'natural', 'rosy', 'red', 'white', 'red', 'angry', 'natural', 'white', 'red', 'rusty', 'white', 'rosy', 'white', 'blood-red', 'red', 'reddish', 'green', 'black', 'natural', 'natural', 'black', 'natural', 'white', 'yellow', 'swart', 'natural', 'natural', 'black']","{'black': 6, 'natural': 8, 'white': 8, 'red': 6, 'purple': 1, 'gold': 1, 'chocolate-coloured': 1, 'lurid': 1, 'brown': 1, 'umber': 1, 'grey': 1, 'green': 2, 'imperial': 1, 'rosy': 2, 'angry': 1, 'rusty': 1, 'blood-red': 1, 'reddish': 1, 'yellow': 1, 'swart': 1}"
She: A History Of Adventure,"Haggard, H. Rider",1886,Victorian,Novel,Gothic,English,,,,,,Central,Caroline,Haggard_She_Gutenberg.txt,https://www.gutenberg.org/files/3155/3155-h/3155-h.htm,,,https://archive.org/details/in.ernet.dli.2015.96429,https://en.wikipedia.org/wiki/She:_A_History_of_Adventure,Serial novel,Project Gutenberg,#3155,4-Apr-06,6-Apr-17,Produced by John Bickers; Dagny; William Kyngesburye; David Widger,,"['green', 'golden', 'grey', 'black', 'purple', 'white', 'natural', 'grey', 'golden', 'black', 'yellow', 'yellow', 'yellow', 'chocolate-coloured', 'white', 'natural', 'red', 'blue', 'red', 'red', 'blue', 'black', 'black', 'white', 'brown', 'black', 'black', 'black', 'white', 'white', 'rose-coloured', 'white', 'pink', 'brown', 'white', 'white', 'black', 'red', 'red', 'lurid', 'white', 'black', 'natural', 'blue', 'white', 'green', 'white', 'white', 'white', 'nude', 'black', 'black', 'white', 'grassy', 'black', 'yellow', 'whitish', 'snowy', 'white', 'green', 'yellow', 'red', 'black', 'yellowish', 'yellow', 'white', 'black', 'lurid', 'red', 'red', 'golden', 'imperial', 'red', 'white', 'candid', 'yellowish', 'black', 'white', 'white', 'brown', 'white', 'white', 'bloody', 'black', 'white', 'white', 'white', 'white', 'white', 'yellow', 'white', 'sooty', 'white', 'black', 'black', 'marble', 'grassy', 'green', 'black', 'lurid', 'fleshy', 'yellow', 'green', 'yellowish', 'green', 'grassy', 'natural', 'evergreen', 'sable', 'white', 'sunny', 'yellowish', 'ivory', 'white', 'black', 'yellowish', 'ivory', 'white', 'black', 'white', 'white', 'silvery', 'white', 'raven', 'white', 'black', 'black', 'white', 'white', 'red', 'milky', 'white', 'white', 'white', 'imperial', 'white', 'snowy', 'black', 'imperial', 'green', 'white', 'natural', 'red', 'whitish', 'white', 'white', 'black', 'white', 'golden', 'white', 'white', 'white', 'black', 'white', 'natural', 'white', 'black', 'natural', 'white', 'white', 'white', 'imperial', 'red', 'black', 'white', 'yellow', 'yellow', 'ivory', 'white', 'imperial', 'white', 'white', 'yellow', 'snowy', 'white', 'white', 'lily', 'red', 'snowy', 'green', 'white', 'white', 'golden', 'white', 'golden', 'livid', 'black', 'white', 'golden', 'gold', 'white', 'white', 'white', 'white', 'imperial', 'brazen', 'imperial', 'black', 'imperial', 'natural', 'yellow', 'white', 'white', 'red', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'white', 'black', 'white', 'white', 'white', 'straw', 'imperial', 'red', 'golden', 'black', 'white', 'white', 'white', 'golden', 'white', 'white', 'natural', 'natural', 'white', 'evergreen', 'green', 'imperial', 'white', 'red', 'green', 'white', 'white', 'stony', 'white', 'marble', 'marble', 'marble', 'golden', 'natural', 'natural', 'natural', 'black', 'black', 'blue', 'white', 'white', 'lurid', 'black', 'natural', 'natural', 'red', 'white', 'yellow', 'blue', 'white', 'stony', 'white', 'rose-coloured', 'rosy', 'rosy', 'rosy', 'blank', 'golden', 'golden', 'rosy', 'golden', 'golden', 'whitish', 'rosy', 'yellow', 'natural', 'snow', 'white', 'white', 'white', 'natural', 'imperial', 'rosy', 'natural', 'natural', 'black', 'black', 'red', 'red', 'red', 'golden', 'snowy', 'white', 'white', 'snow', 'black', 'yellow', 'white', 'yellowish', 'red', 'black', 'black', 'natural', 'white', 'white', 'imperial', 'snow-white']","{'green': 10, 'golden': 15, 'grey': 2, 'black': 50, 'purple': 1, 'white': 96, 'natural': 20, 'yellow': 15, 'chocolate-coloured': 1, 'red': 21, 'blue': 5, 'brown': 3, 'rose-coloured': 2, 'pink': 1, 'lurid': 4, 'nude': 1, 'grassy': 3, 'whitish': 3, 'snowy': 5, 'yellowish': 6, 'imperial': 12, 'candid': 1, 'bloody': 1, 'sooty': 1, 'marble': 4, 'fleshy': 1, 'evergreen': 2, 'sable': 1, 'sunny': 1, 'ivory': 3, 'silvery': 1, 'raven': 1, 'milky': 1, 'lily': 1, 'livid': 1, 'gold': 1, 'brazen': 1, 'straw': 1, 'stony': 2, 'rosy': 6, 'blank': 1, 'snow': 2, 'snow-white': 1}"
"""The Horla""","de Maupassant, Guy",1887,,Short Story,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Horla,,,,,,,,,
"""The Spook House""","Bierce, Ambrose",1889,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Spook_House,,,,,,,,,
"""The Death Of Halpin Frayser""","Bierce, Ambrose",1891,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Bierce_CanSuchThingsBe_eBooksAdelaide.txt,https://ebooks.adelaide.edu.au/b/bierce/ambrose/can-such-things-be/chapter1.html,,,,https://en.wikipedia.org/wiki/The_Death_of_Halpin_Frayser,,eBooks@Adelaide,,,6-Apr-17,,,"['natural', 'white', 'natural', 'red', 'natural', 'blank', 'white', 'black', 'brown', 'golden', 'black', 'wan', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'purple', 'black', 'black', 'white', 'red']","{'natural': 3, 'white': 10, 'red': 2, 'blank': 1, 'black': 4, 'brown': 1, 'golden': 1, 'wan': 1, 'purple': 1}"
La-Bas,"Huysman, Joris-Karl",1891,,Novel,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/L%C3%A0-bas_(novel),,,,,,,,,
